px	py	v	yaw_angle	yaw_rate	px_measured	py_measured	px_true	py_true	vx_true	vy_true	NIS
4.56558	-9.57521	-2.75442	-1.88642	-0.962673	4.60757	-9.4335	4.7	-9.6	0.90859	2.72578	2.01325
4.64618	-9.43323	-2.76134	-1.95897	-0.980993	4.74589	-9.4609	4.75	-9.45	0.908586	2.72576	0.608147
4.72145	-9.29885	-2.75782	-2.02394	-0.993004	4.89179	-9.39473	4.85	-9.3	1.81967	2.72952	0.4636
4.82816	-9.15598	-2.78503	-2.10132	-1.01316	4.94849	-9.13867	4.95	-9.15	1.81967	2.72951	0.859822
4.91102	-9.03594	-2.78945	-2.16066	-1.02361	4.95209	-8.96272	5	-9.05	0.999884	1.99977	0.137782
5.00143	-8.92555	-2.79109	-2.21826	-1.02946	5.04121	-8.94979	5.05	-8.95	0.999874	1.99974	0.117457
5.07346	-8.80081	-2.79112	-2.24411	-0.986537	5.20806	-8.88942	5.15	-8.8	1.81805	2.72708	1.67341
5.19337	-8.67347	-2.81925	-2.30805	-0.993809	5.26887	-8.63564	5.25	-8.65	1.81803	2.72705	0.404736
5.29352	-8.57041	-2.82349	-2.35794	-0.992683	5.3785	-8.56768	5.35	-8.55	1.99956	1.99957	0.0879369
5.4072	-8.4646	-2.84368	-2.41104	-0.994607	5.44864	-8.42738	5.45	-8.45	1.99954	1.99954	0.173377
5.49484	-8.35539	-2.8234	-2.42822	-0.941559	5.56465	-8.44845	5.5	-8.35	0.909045	1.81807	2.24373
5.60049	-8.25634	-2.81052	-2.47316	-0.936227	5.53862	-8.24357	5.55	-8.25	0.909045	1.81808	0.216934
5.67621	-8.13804	-2.78339	-2.46653	-0.85516	5.64921	-8.02513	5.7	-8.1	2.72608	2.72608	4.79387
5.80983	-8.02812	-2.81405	-2.51221	-0.852117	5.85094	-7.95601	5.85	-7.95	2.72606	2.72606	0.383262
5.90305	-7.91755	-2.79194	-2.5144	-0.787989	5.93492	-7.84119	5.95	-7.85	1.81801	1.81801	3.14792
6.03711	-7.81199	-2.8189	-2.55334	-0.782569	6.05986	-7.73559	6.05	-7.75	1.81802	1.81801	0.352535
6.12682	-7.70148	-2.78406	-2.54326	-0.705442	6.13741	-7.63243	6.15	-7.65	1.81798	1.81798	4.63297
6.25703	-7.60352	-2.79999	-2.57663	-0.699823	6.25659	-7.54336	6.25	-7.55	1.81798	1.81798	0.198983
6.35633	-7.50031	-2.76887	-2.5715	-0.635279	6.39143	-7.46358	6.35	-7.45	1.82027	1.82027	3.40395
6.48096	-7.41038	-2.77249	-2.60032	-0.629753	6.452	-7.36418	6.45	-7.35	1.82025	1.82025	0.158982
6.59522	-7.32763	-2.77661	-2.62283	-0.620191	6.47916	-7.09783	6.6	-7.25	2.99862	1.99908	0.79099
6.72677	-7.23718	-2.80853	-2.64574	-0.611606	6.7556	-7.14598	6.75	-7.15	2.99862	1.99908	0.514811
6.79373	-7.11366	-2.72237	-2.58933	-0.478976	6.68682	-6.93297	6.8	-7.05	0.908005	1.816	15.2803
6.91428	-7.02039	-2.72628	-2.60565	-0.469959	6.86356	-6.94732	6.85	-6.95	0.908	1.81601	0.42263
7.04466	-6.94295	-2.72823	-2.62919	-0.466383	7.08741	-6.92602	7	-6.85	2.72856	1.81904	0.0347337
7.17616	-6.84708	-2.74727	-2.6429	-0.455108	7.15695	-6.75136	7.15	-6.75	2.72854	1.81902	0.525929
